,Time,Heuristic,Density,Trajectory
0,0.04099011421203613,Weighted Manhattan,0.1,223
0,0.03928399085998535,Combined Chebyshev Manhattan,0.1,209
0,0.04836297035217285,Combined Chebyshev Euclidian,0.1,209
0,0.056574106216430664,Combined Manhattan Euclidian,0.1,209
0,2.798928737640381,Chebyshev,0.2,215
0,2.133941173553467,Manhattan,0.2,337
0,2.965235948562622,Euclidian,0.2,215
0,0.08997488021850586,Weighted Manhattan,0.2,337
0,0.0905919075012207,Combined Chebyshev Manhattan,0.2,215
0,0.1078946590423584,Combined Chebyshev Euclidian,0.2,215
0,0.10209488868713379,Combined Manhattan Euclidian,0.2,215
0,6.598473072052002,Chebyshev,0.30000000000000004,331
0,3.519942045211792,Manhattan,0.30000000000000004,293
0,6.88076114654541,Euclidian,0.30000000000000004,331
0,0.14596104621887207,Weighted Manhattan,0.30000000000000004,293
0,0.2237389087677002,Combined Chebyshev Manhattan,0.30000000000000004,333
0,0.239152193069458,Combined Chebyshev Euclidian,0.30000000000000004,331
0,0.239091157913208,Combined Manhattan Euclidian,0.30000000000000004,331
0,0.1618943214416504,Chebyshev,0.0,201
0,0.14798903465270996,Manhattan,0.0,201
0,0.18403196334838867,Euclidian,0.0,201
0,0.00557708740234375,Weighted Manhattan,0.0,201
0,0.005958080291748047,Combined Chebyshev Manhattan,0.0,201
0,0.006697893142700195,Combined Chebyshev Euclidian,0.0,201
0,0.006882905960083008,Combined Manhattan Euclidian,0.0,201
0,2.4527502059936523,Chebyshev,0.1,207
0,0.7256813049316406,Manhattan,0.1,237
0,2.508132219314575,Euclidian,0.1,207
0,0.053952932357788086,Weighted Manhattan,0.1,237
0,0.11107993125915527,Combined Chebyshev Manhattan,0.1,207
0,0.11826109886169434,Combined Chebyshev Euclidian,0.1,207
0,0.08839082717895508,Combined Manhattan Euclidian,0.1,207
0,3.024848222732544,Chebyshev,0.2,221
0,1.642392873764038,Manhattan,0.2,303
0,3.2466108798980713,Euclidian,0.2,221
0,0.07940793037414551,Weighted Manhattan,0.2,303
0,0.0969538688659668,Combined Chebyshev Manhattan,0.2,221
0,0.1062309741973877,Combined Chebyshev Euclidian,0.2,221
0,0.12321090698242188,Combined Manhattan Euclidian,0.2,221
0,7.9696221351623535,Chebyshev,0.30000000000000004,339
0,7.841331958770752,Manhattan,0.30000000000000004,319
0,8.730082750320435,Euclidian,0.30000000000000004,339
0,0.17389202117919922,Weighted Manhattan,0.30000000000000004,319
0,0.2679018974304199,Combined Chebyshev Manhattan,0.30000000000000004,355
0,0.29734301567077637,Combined Chebyshev Euclidian,0.30000000000000004,353
